Title of Publication,Authors,Year of Publication/Posting for Preprints,Study Design/Method of Analysis (https://research.library.gsu.edu/c.php?g=115595&p=755213),Primary and or Secondary Outcome Variable,General Primary Outcome,Rationale/Main Goal,Published in Special Issue (y/n),"Study Location (City, State, Country)",Country,Implicit/Explicit mention of Health Equity,Buckets A vs Not Bucket A,Notes,,,,,,,,,,,,,,,,,
Making waves: Wastewater surveillance of SARS-CoV-2 in an endemic future,Wu et al.,2022,Review,COVID-19,COVID-19,"Here, we explore the roles of wastewater surveillance in a COVID-19 endemic
future, and discuss future developments that are important for the field
as preparation for the next viral pandemic.
",No,Global,NA,Implicit,Not Bucket A ,,,,,,,,,,,,,,,,,,
Spatial and temporal assessment of crack cocaine use in 13 European citiesthrough wastewater-based epidemiology,Steenbeek et al.,2022,Surveillance Study,Crack Cocaine Use,Illicit/Nonillicit Drugs,"The aim of the present study was to assess spatial trends in population normalized mass loads of crack cocaine biomarkers (i.e., AE and AEME) in influent wastewater from 13 European cities from six countries (the Netherlands, Belgium, Ireland, Portugal, Spain and Italy) collected in
2020 and 2021 to obtain complementary information about populationwide
crack cocaine use
",No,"13 European cities from six countries (the Netherlands, Belgium, Ireland, Portugal, Spain and Italy) ",NA,None,Bucket A,,,,,,,,,,,,,,,,,,
Monitoring of COVID-19 in wastewater across the Eastern Upper Peninsula of Michigan ,Jarvie et al.,2023,Surveillance Study,COVID-19,COVID-19,The following study examined the relationship between wastewater surveillance and clinical COVID-19 cases in rural communities of Upper Michigan.,No,Michigan ,USA,Implicit,Not Bucket A ,,,,,,,,,,,,,,,,,,
Wastewater monitoring comes of age,Nature Microbiology,2022,Commentary,COVID-19,COVID-19,Outlines the importance of using wastewater for early outbreak detection,No,Global,NA,None,Bucket A,,,,,,,,,,,,,,,,,,
"Centralized and decentralized wastewater-based epidemiology to infer
COVID-19 transmission – A brief review",Goncalves et al. ,2022,Review,COVID-19,COVID-19,"In this review, we discuss the applications of wastewaterbased
epidemiology with special attention to the ongoing COVID -19
pandemic and discuss the idea of a decentralized approach to WBE.",No,Global,NA,Implicit,Not Bucket A ,,,,,,,,,,,,,,,,,,
Longitudinal SARS-CoV-2 RNA wastewater monitoring across a range of scales correlates with total and regional COVID-19 burden in a well-defined urban population,Acosta et al.,2022,Surveillance Study,COVID-19,COVID-19,"
longitudinal monitoring for SARS-CoV-2 in wastewater from June 2020 to May 2021 that assessed SARS-CoV-2 RNA signal accuracy at the level of individual neighborhoods, each of Calgary’s three WWTPs, and a flow-adjusted aggregate signal representing the entire city of Calgary
",No,"Calgary, Canada",Canada,Implicit,Not Bucket A ,,,,,,,,,,,,,,,,,,
Wastewater-based estimation of the prevalence of gout in Australia,Ahmed et al. ,2020,Surveillance Study,Gout (Allopurinol -- first line treatment for gout),Illicit/Nonillicit Drugs,"this
study aimed to estimate gout prevalence in Australia by wastewater
analysis with sub-aims of (i) testing the suitability of oxypurinol as a
WBE biomarker (ii) comparing population-weighted mass loads with
gout disease risk factors and other WBE biomarkers as well as (iii)
assessing SEIFA indicators that may be potential risk factors. To date,
this is the firstWBE study to evaluate gout prevalence.",No,Australia,Australia,Implicit,Not Bucket A ,,,,,,,,,,,,,,,,,,
Application of machine learning for multicommunity COVID-19 outbreak predictions with wastewater surveillance,Ai et al. ,2022,Predictive Modelling/Machine Learning,COVID-19,COVID-19,"we propose applying predictive time-series machine learning and deep learning models to track COVID-19 outbreaks in multiple communities. Thus, proof-ofconcept modeling was conducted with three main objectives: (1) comparing the performance of different time series and non-time series machine learning models; (2) extracting different types of wastewater- and sewershed-related features and investigating their effects on the models; and (3) examining the potential lead time of wastewater surveillance to clinical reports.",No,"Spain, USA, Australia, Greece, Canada",,None,Bucket A,,,,,,,,,,,,,,,,,,
Community Wastewater-Based Surveillance Can Be a Cost-Effective Approach to Track COVID-19 Outbreak in Low-Resource Settings: Feasibility Assessment for Ethiopia Context,Ali et al. ,2022,Surveillance Study,COVID-19,COVID-19,"
this study aims to assess the feasibility of the approach, build a wastewaterbased epidemiology capacity, and to give first insights into data generated for the assessment and monitoring of SARS-CoV-2 RNA from wastewater management plants in Addis Ababa, Ethiopia.
",No,Ethiopia,Ethiopia,Implicit,Not Bucket A ,,,,,,,,,,,,,,,,,,
"One-year surveillance of SARS-CoV-2 in wastewater from vulnerable urban communities in metropolitan São Paulo, Brazil",Barbosa et al. ,2022,Surveillance Study,COVID-19,COVID-19,"The present study is part of the São Paulo State wastewater surveillance program for COVID-19 initiated in April 2020 and focused on assessing trends in SARS-CoV-2 RNA concentrations in wastewater from the two main favelas of the city of São Paulo (Paraisópolis and Heliópolis) and two low-income neighborhoods (Vila Brasilândia and Cidade Tiradentes), areas of high vulnerability considered as a priority for the fight against COVID-19 by the city Health Service System. SARS-CoV-2 concentration methods, genetic diversity and viability of SARS-CoV-2 were also evaluated.",No,Brazil,Brazil,Implicit,Not Bucket A ,,,,,,,,,,,,,,,,,,
Wastewater-based epidemiology: A Brazilian SARS-COV-2 surveillance experience,Bueno et al. ,2022,Surveillance study,COVID-19,COVID-19,"This manuscript highlights the relevance of a multiparty effort involving research, public health, and governmental agencies to support usage of WBE to its full potential during the COVID-19 pandemic as part of a joint One Health surveillance approach. The results and experiences of the COVID-19 Wastewater Monitoring Network ANA/MCTI/MS (ABC Region, Foz do Iguaçu, Goiˆania, and Federal District) are presented.",No,Brazil,Brazil,Implicit,Not Bucket A ,,,,,,,,,,,,,,,,,,
Impact of sampling depth on pathogen detection in pit latrines,Capone et al. ,2021,Surveillance study,20 common enteric pathogens,Enteric Pathogens,"the aim of this study was to compare molecular detection of enteric pathogens between the surface, mid-point, and maximum depth of dry pit latrines in urban and peri-urban Malawi",No,Malawi,Malawi,None,Bucket A,,,,,,,,,,,,,,,,,,
COVID-19 wastewater surveillance in rural communities: Comparison of lagoon and pumping station samples,D'Aoust et al. ,2021,Surveillance study,COVID-19,COVID-19,The specific objectives of this studywere to: i) compare SARS-CoV-2 signal at both sampling locations for strength of the RNA viral signal and RNA integrity and ii) compare the higher integrity longitudinal SARS-CoV-2 signal to existing community epidemiological data to ascertain the ability of WWS to track and predict and correlate with trends in rates of incidence of COVID-19 in small and rural communities.,No,"Ontario, Canada",Canada,Implicit,Not Bucket A ,,,,,,,,,,,,,,,,,,
COVID-19 Crisis Creates Opportunity towards Global Monitoring & Surveillance,Donia et al. ,2021,Review,COVID-19,COVID-19,"This paper aims to provide an insight into the ongoing COVID-19 crisis, how it can be managed, and what measures are required to deal with a current global international public health concern. Additionally, it shed light on the importance of using wastewater surveillance strategy as an early warning practical tool suitable for massive passive screening, as well as the urgent need for microfluidic technology as a rapid and cost-effective approach tracking SARS-CoV-2 in wastewater.",No,Global,NA,Explicit,Not Bucket A ,(uses health inequity terminology),,,,,,,,,,,,,,,,,
Wastewater research and surveillance: an ethical exploration,N Doorn,2022,Perspective/commentary,COVID-19,COVID-19,The current perspective paper aims to explore the different ethical questions pertaining to wastewater research and surveillance and to provide some tentative guidelines on the desirability of different types of applications.,No,Global,NA,Implicit,Not Bucket A ,,,,,,,,,,,,,,,,,,
Legal and ethical implications of wastewater monitoring of SARS-CoV-2 for COVID-19 surveillance,Gabel et al. ,2020,Perspective/commentary,COVID-19,COVID-19,Part I of this article describes recent scientific evidence regarding COVID-19 detection in wastewater and identifies the public health benefits thatmay result from this breakthrough. Part II turns to assessing the legal and ethical implications of implementing policy based on positive sewage signals.,No,Global,NA,Implicit,Not Bucket A ,,,,,,,,,,,,,,,,,,
"Wastewater, waste, and water-based epidemiology (WWW-BE): A novel hypothesis and decision-support tool to unravel COVID-19 in low-income settings?",Gwenzi et al. ,2022,Review,COVID-19,COVID-19,"The purpose of the present paper is to draw the attention of the research community, governments, local and international development agencies, and practitioners to WWW-BE as a potential novel low-cost tool for understanding COVID-19. The specific objectives are: (i) to present the rationale and conceptual framework, including components and key principles of WWW-BE in LICs, (ii) to discuss the empirical and inferential evidence underpinning WWW-BE, (iii) to present the potential applications, novelty, critique, and challenges ofWWW-BE as a hypothesis and decision-support tool (Table 1), and (iv) to propose future research directions, including key knowledge gaps, and application of emerging technologies.",No,Global,NA,Implicit,Not Bucket A ,,,,,,,,,,,,,,,,,,
Spatial and temporal variability and data bias in wastewater surveillance of SARS-CoV-2 in a sewer system,Haak et al. ,2022,Surveillance Study,COVID-19,COVID-19,"this study aimed to examine the spatial patterns of SARS-CoV-2 viral shedding through a spatial sampling strategy across neighborhood-scale sewershed catchments. Also, it identified spatially clustered patterns of viral RNA concentrations in sewage according to geography, temporal patterns in viral shedding, and to classify WRF and neighborhood monitoring sites into groups based on spatio-temporal patterns in viral RNA concentrations.",No,"Nevada, US",USA,Implicit,Not Bucket A ,,,,,,,,,,,,,,,,,,
"
 Long-term monitoring of drug consumption patterns during the COVID-19 pandemic in a small-sized community in Brazil through wastewater-based epidemiology
",Hahn et al. ,2022,Surveillance Study,Drug consumption patterns,Illicit/Nonillicit Drugs,"In this context, this study describes a WBE study evaluating all priority SCORE drugs during a whole year in 2020–2021 in a Brazilian midsize city, comparing the estimated drug consumption with human mobility reports.",No,Brazil,Brazil,None,Bucket A,,,,,,,,,,,,,,,,,,
An analysis of ethical issues in using wastewater analysis to monitor illicit drug use,Hall et al. ,2012,Review,Illicit Drug use,Illicit/Nonillicit Drugs,"We begin by discussing the use of WWA to monitor patterns of illicit drug use in the general
population, and then consider ethical issues that may arise if it is used in settings where smaller populations contribute towastewater samples, such as entertainment areas, prisons, schools and work-places. We conclude with a brief discussion of civil rights issues raised by possible
future uses of WWA by law enforcement officials.
",No,Global,NA,Implicit,Not Bucket A ,,,,,,,,,,,,,,,,,,
Wastewater surveillance for SARS-CoV-2: Lessons learnt from recent studies to define future applications,Hamouda et al. ,2021,Review,COVID-19,COVID-19,"In particular, this review offers: 1) a comparative analysis of the methods of wastewater concentration and virus detection, 2) a deep data analysis of the studies already published on SARS-CoV-2 wastewater surveillance, 3) a discussion on issues related to virus detection assays such as sensitivity and specificity and the ability to predict future community outbreaks, 4) an overview of issues related to quality control and safety, 5) a tailored framework for SARS-CoV-2 wastewater-based epidemiology, and finally 6) an insight into future directions based on current lessons learnt including the implications of reusing greywater.",No,Global,NA,None,Bucket A,,,,,,,,,,,,,,,,,,
Ethics Guidance for Environmental Scientists Engaged in Surveillance of Wastewater for SARS-CoV‑2,Hrudey et al. ,2021,Review,COVID-19,COVID-19,"This Policy Analysis addresses that need and is based on a review of relevant ethics literature tightly focused on ethics applicable to public health surveillance. That review revealed that classical health bioethics governing clinical practice and general public health ethics guidance did not adequately address key issues in wastewater surveillance. The 2017 World Health Organization guidelines, directly based on a systematic literature review, specifically addressed ethical issues in public health surveillance. The application of relevant ethical guidance to wastewater surveillance is analyzed and summarized for environmental scientists.
",No,Global,NA,Yes,Not Bucket A ,,,,,,,,,,,,,,,,,,
Norovirus detection in wastewater and its correlation with human gastroenteritis: a systematic review and meta‑analysis,Huang et al.,2022,systematic review and meta analysis,Norovirus,Norovirus,we performed a systematic review and meta-analysis of past NoV wastewater surveillance studies to explore and estimate the correlation between NoV occurrence in wastewater and AGE in the ,No,Global,NA,None,bucket A,,,,,,,,,,,,,,,,,,
Predicting clinical resistance prevalence using sewage metagenomic data,Karkman et al.,2020,Surveillance / Prediction study,antibiotic resistance,Antibiotics/Resistance,"we investigated the correlation between reported clinical resistance prevalence in bloodstream infections of E. coli or an aggregated resistance index from16 and either (1) total ARGs, (2) total ARGs for each antibiotic class separately, (3) the 10 most abundant
ARGs that are known to be present in the E. coli pangenome, (4) the 10 most abundant E. coli ARGs separated by antibiotic class, (5) IntI1 integron gene abundances in sewage. Furthermore, we (6) compared whether sewage data correlated better to the prevalence
of clinical resistance compared with socioeconomic factors. Last, we (7) explored if models based on both sewage data and socioeconomic factors would give the best model for clinical
resistance prevalence in terms of model fit. After a leave-one-out cross-validation of the models, we (8) used sewage data together with socioeconomic factors to predict clinical antibiotic resistance in countries where surveillance data are lacking.
",No,Global,NA,Implicit,Not Bucket A,,,,,,,,,,,,,,,,,,
 Wastewater-based epidemiology in hazard forecasting and early-warning systems for global health risks,Kasprzyk-Hordern et al. ,2022,Review,Hazard forecasting,NA,"In this manuscript, we have critically evaluated the knowledge-base and preparedness for building early warning systems in a rapidly urbanising world, with particular attention to Africa, which experiences rapid population growth and urbanisation. We have proposed a Digital Urban Environment Fingerprinting Platform (DUEF) – a new approach in hazard forecasting and early-warning systems for global health risks and an extension to the existing concept
of smart cities.
",No,Africa + LMIC,,Implicit,Not Bucket A,,,,,,,,,,,,,,,,,,
Predicting COVID-19 cases in diverse population groups using SARS-CoV-2 wastewater monitoring across Oklahoma City,Kuhn et al.,2022,Surveillance Study,COVID-19,COVID-19,"In this
paper we describe the methods employed and results achieved from
this longitudinal surveillance of an important infectious disease across
a larger metropolitan area.",No,"Oklahoma, US",USA,Implicit,Not Bucket A,,,,,,,,,,,,,,,,,,
"Towards a novel application of wastewater-based epidemiology in
population-wide assessment of exposure to volatile organic compounds",Kumar et al. ,2022,isotope-dilution liquid chromatography-tandemmass spectrometry,volatile organic compounds,Chemical Exposures,"The objective of this
study was to investigate the feasibility of detecting 35 urinary biomarkers
of VOC exposure in community wastewater, targeting two communities
with varying degrees of outdoor air pollution.",No,"Southeast, US",USA,None,Bucket A,,,,,,,,,,,,,,,,,,
"Socioeconomic status correlations with confirmed COVID-19 cases and
SARS-CoV-2 wastewater concentrations in small-medium
sized communities",Lancaster et al.,2022,Surveillance Study ,COVID-19,COVID-19,"this study acknowledges thatwastewater-based surveillance is an efficient approach for tracking infectious diseases within communities, regardless of these potential healthcare barriers, and has the potential to serve as a complementary tool for evaluating community socioeconomics (Choi et al., 2020). Hence, the second objective of this study is to determine the association between socioeconomic status parameters and community level SARS-CoV-2 wastewater concentrations using municipal wastewater samples. While the approach and study design used in this study is scalable and applicable anywhere in the world, this study may aid in implementing future prevention strategies prior to the next epidemic.",No,"Ohio, US",USA,Implicit,Not Bucket A,,,,,,,,,,,,,,,,,,
Evaluation of a Wastewater-Based Epidemiological Approach to Estimate the Prevalence of SARS-CoV-2 Infections and the Detection of Viral Variants in Disparate Oregon Communities at City and Neighborhood Scales,Layton et al. ,2022,Surveillance Study,COVID-19,COVID-19,"In thispaper, theSARS-CoV-2 burdenson communities of diverse size,location,climates, and demography were examined through fourlines of evidence:",No,Oregon US,USA,Implicit,Not Bucket A,,,,,,,,,,,,,,,,,,
Wastewater surveillance in smaller college communities may aid future public health initiatives,Lee et al.,2022,Surveillance Study,COVID-19,COVID-19,"Here we report on the analysis of longitudinal samples collected throughout the Delta and
Omicron surges in rural Lincoln Parish, Louisiana. We assess the effect of fecal normalization
and compare temporal trends of SARS-CoV-2 in the wastewater to confirmed cases to estimate
the sensitivity of wastewater surveillance. To our knowledge, this is the first study of its kind
where two public, rural primarily undergraduate campuses leveraged limited resources to
forge partnerships and produce data to inform public health.",No,"Linoln Parish, Louisiana, US",USA,Implicit,Not Bucket A,,,,,,,,,,,,,,,,,,
"Real-time sewage surveillance for SARS-CoV-2 in Dhaka,
Bangladesh versus clinical COVID-19 surveillance:
a longitudinal environmental surveillance study
(December, 2019–December, 2021)",McQuade et al.,2023,Surveillance Study,COVID-19,COVID-19,"Here, we evaluate the use of environmental surveillance
as a supplementary surveillance method for SARS-CoV-2
RNA in Dhaka, Bangladesh, where limited diagnostic
testing,13 high population density, and weak access to health care has made clinical surveillance for COVID-19
challenging.14,15 Firstly, we mapped the informal sewage
network in three areas of Dhaka, selecting
37 environmental surveillance sites from which weekly
samples were collected. We compared SARS-CoV-2
detection in sewage from 37 catchment areas in eight
wards (the smallest administrative unit for urban areas
in Bangladesh) with reported clinical cases from
December, 2019, to December, 2021, evaluated whether
environmental surveillance provides an early warning of
changes in transmission in this setting, and explored
how this association varied by income level of ward
residents.",No,"Dhaka, Bangladesh",Bangladesh,Explicit,Not Bucket A,,,,,,,,,,,,,,,,,,
The need of an environmental justice approach for wastewater based epidemiology for rural and disadvantaged communities: A review in California,Medina et al. ,2022,Surveillance Study,COVID-19,COVID-19,The purpose of this review of California WBE efforts is to assess the need for an environmental justice approach to COVID-19 monitoring efforts.,No,"California, US",USA,Explicit,Not Bucket A,,,,,,,,,,,,,,,,,,
"Application of neighborhood-scale wastewater-based epidemiology in low
COVID-19 incidence situations",Oh et al. ,2022,Surveillance Study,COVID-19,COVID-19,"This study aims to develop a methodology for the neighborhood-scale
WBE for community-wide COVID-19 surveillance",No,"Champaign County, IL, US",USA,None,Bucket A,,,,,,,,,,,,,,,,,,
"Age-dependent association between SARS-CoV-2 cases reported by
passive surveillance and viral load in wastewater",Omori et al. ,2021,Surveillance Study,COVID-19,COVID-19,"In the present study, we aimed to estimate the age-dependent association
between the number of reported cases in passive surveillance
and the viral load in wastewater to compare passive and wastewater
surveillance methods. We constructed a statistical model describing
the association between incidence per age group and the viral load in
wastewater, and then estimated the lag of detection timing between
passive surveillance and wastewater surveillance and age dependency
in the contribution rate of incidences to the viral load in wastewater.",No,"Massachusetts, US",USA,None,Bucket A,,,,,,,,,,,,,,,,,,
SARS-CoV-2 in wastewater: Challenges for developing countries,Pandey et al.,2021,Review,COVID-19,COVID-19,"Therefore, the main objective of this perspective is to collect the available
data on wastewater treatment, sanitation status and healthcare
infrastructure from middle- and low-income countries and correlate it
with the possible risks associated with the fecal-oral transmission of
SARS-CoV-2 and highlight the limitations of COVID-19 surveillance
through sewage monitoring in these countries.",No,"""Developing Countries""",NA,Implicit,Not Bucket A,,,,,,,,,,,,,,,,,,
"Multimodal surveillance of SARS-CoV-2 at a
university enables development of a robust
outbreak response framework",Petros et al. ,2022,Empirical analysis/Framework,COVID-19,COVID-19,"Here, we analyzed clinical diagnostic data, case attributes, WiFi co-location logs,
wastewater samples, and viral genomic sequences to assess CMU’s pandemic
response program and to determine the relevance of each data type to infectious
disease surveillance.",No,"Colorado, US",USA,None,Bucket A,,,,,,,,,,,,,,,,,,
"Wastewater-based epidemiology for preventing outbreaks and epidemics in
Latin America – Lessons from the past and a look to the future",Prado et al.,2023,Review,COVID-19,COVID-19,"This manuscript addresses the
concepts and applications ofWBE in public health actions, as well as different experiences in Latin American countries,and discusses a model to implement this surveillance system at the local or national level. We emphasize the need to
implement this sentinel surveillance system in countries that want to detect the early entry and spread of new pathogens
and monitor outbreaks or epidemics of infectious agents in their territories as a complement of public health
surveillance systems",No,"""Latin America""",USA,Explicit,Not Bucket A,"(it doesn't use the word health equity tho, so is it implicit?)",,,,,,,,,,,,,,,,,
"Population level SARS-CoV-2 fecal shedding rates determined via
wastewater-based epidemiology",Prasek et al. ,2022,Methodology ,"COVID-19, fecal shedding rates",COVID-19,"In this study, community-level fecal shedding rates of SARS-CoV-2 RNA
were calculated for six distinct populations that differed in size and demographics.
Community-specific fecal shedding rates can then be used to develop
estimations for the total number of infected individuals. Ultimately,
estimated disease prevalence (EDP) can be used to inform public health officials
and key stakeholders (e.g. hospitals, city administration, businesses,
schools) to effectively utilize resources for preparedness and response actions
that lessen outbreak severity.",No,"Arizona, Florida, US",USA,None,Bucket A,,,,,,,,,,,,,,,,,,
"Sewage epidemiology and illicit drug research: The development of
ethical research guidelines",Prichard et al. ,2014,Guidelines,Illicit drugs,Illicit/Nonillicit Drugs,"To discuss the need to develop ethical guidelines for researchers using sewage epidemiology to monitor
drug use in the general population and specific precincts, including prisons, schools and workplaces.",No,Global (not specified general guidelines),NA,Implicit,Not Bucket A,(although could be explicit + not using the word health equity?) do we want to relax this criteria? idk,,,,,,,,,,,,,,,,,
Ethical and Legal wastewater surveillance,Ram et al. ,2023,Letter,NA,NA,A letter about ethical and legal wastewater surveillance,No,Global,NA,Implicit,Not Bucket A,^same as above,,,,,,,,,,,,,,,,,
"Monitoring of SARS‐CoV‐2 concentration and circulation of
variants of concern in wastewater of Leuven, Belgium",Rector et al. ,2023,Surveillance Study,COVID-19,COVID-19,"We report here on our experience with monitoring of SARSCoV‐
2 RNA levels and circulation VOCs in wastewater of the city of
Leuven, Belgium.",No,Belgium,Belgium,None,Bucket A,,,,,,,,,,,,,,,,,,
"Population Health Metrics During the Early Stages of the
COVID-19 Pandemic: Correlative Pilot Study",Severson et al.,2022,,,,,,,,,remove from this -- wastewater is not a focus of the study,,,,,,,,,,,,,,,,,,
"Spatial analysis of metformin use compared with nicotine and caffeine
consumption through wastewater-based epidemiology in China",Shao et al.,2021,Surveillance Study,metformin,Illicit/Nonillicit Drugs,"The overall objective of this study was to investigate the spatial
consumption patterns of metformin, nicotine, and caffeine in urban
cities across China. We selected 27 wastewater treatment plants
(WWTPs) from 22 typical Chinese cities that covered all the geographic
regions of China. The purposes of this study were as follows: 1. to
determine the profile of spatial patterns of the consumption of metformin,
nicotine, and caffeine; 2. to explore the economic factors that affect
consumption in China; and 3. to identify the relationships between
metformin, cotinine, and caffeine.",No,China,China,None,Bucket A,,,,,,,,,,,,,,,,,,
"Epidemiology and diagnosis, environmental resources quality and
socio-economic perspectives for COVID-19 pandemic",Suthar et al.,2021,Review,COVID-19,COVID-19,A review on the need to tackle COVID-19 as a socio-economic initiative ,No,Global,NA,Implicit,Not Bucket A,Same as above,,,,,,,,,,,,,,,,,
Making waves: Wastewater surveillance of SARS-CoV-2 for population-based health management,Thompson et al.,2020,Review,COVID-19,COVID-19,"In this article, we discuss the importance of monitoring untreated wastewater in sewerage (the pipes, pumps and force mains that help collect and convey domestic wastewater from its source to the treatment plant) and at the intake of mu- nicipal wastewater treatment plants (WWTPs) to provide an early warning of SARS-CoV-2 outbreaks, and local tracing of infection clusters. Next, we consider implications of virus detection in un- treated wastewater and how such data could be used in epidemi- ology and decision making while considering societal implications.",No,Global,NA,Implicit ,Not Bucket A,(same as above),,,,,,,,,,,,,,,,,
"Investigation of agreement between wastewater-based epidemiology
and survey data on alcohol and nicotine use in a community",Van Wel et al.,2016,Surveillance Study,Nicotine / Alcohol,Illicit/Nonillicit Drugs,"This study compares estimates of nicotine and alcohol use from a wastewater sampling
campaign in a medium-sized Belgian city with a concurrently executed population survey.",No,Belgium,Belgium,None,Bucket A,,,,,,,,,,,,,,,,,,
Use of wastewater surveillance for early detection of Alpha and Epsilon SARS-CoV-2 variants of concern and estimation of overall COVID-19 infection burden,Vo et al.,2022,Surveillance Study,COVID-19,COVID-19,"Here, we explore three wastewater surveillance themes using
samples collected in Southern Nevada: (1) trend analysis comparing
SARS-CoV-2 RNA concentrations in wastewater with confirmed
COVID-19 case data, (2) amplicon-based WGS for variant characterization
and VOC detection, and (3) use of wastewater-based epidemiology
to estimate total COVID-19 incidence in the community.",No,"Southern Nevada, US",USA,None,Bucket A,,,,,,,,,,,,,,,,,,
A rapid and simple protocol for concentration of SARS-CoV-2 from sewage,Wehrendt et al.,2021,Methodology,COVID-19,COVID-19,"The aim of this study was to set up a simple protocol to concentrate SARS-CoV-2 from sewage, which can be
implemented in laboratories with minimal equipment resources.",No,"Buenos Aires, Argentina",Argentina,Implicit,Not Bucket A,,,,,,,,,,,,,,,,,,
"Comparison of high-frequency in-pipe SARS-CoV-2 wastewater-based
surveillance to concurrent COVID-19 randomclinical testing on a public U.S.
university campus",Wright et al.,2022,Surveillance Study,COVID-19,COVID-19,"The goal of this study was to conduct SARS-CoV-2 monitoring in campus
wastewater and compare those measurements to the results of
COVID-19 random clinical testing in the student and staff population on a
large U.S. university campus.",No,Southwest US,USA,None,Bucket A,,,,,,,,,,,,,,,,,,
A novel image processing-based system for turbidity measurement in domestic and industrial wastewater,Mullins et al.,2018,Methodology,Fluid Turbidity,NA,"This paper presents a novel, automated system for estimating fluid turbidity.",No,NA,NA,None,Bucket A,,,,,,,,,,,,,,,,,,
"Evaluation of population estimation methods for wastewater-based
epidemiology in a metropolitan city",Sim et al. ,2023,Surveillance Study,Drug Biomarkers,Illicit/Nonillicit Drugs,Evaluation of population estimation methods for wastewater-based epidemiology in a metropolitan city,No,South Korea,"Korea, Republic of",None,Bucket A,,,,,,,,,,,,,,,,,,
"A multi-omics study on quantifying antimicrobial resistance in European
freshwater lakes",Spanig et al. ,2021,Surveillance Study,Antimicrobial Resistance,Antibiotics/Resistance,This study collected freshwater data from hundreds of European Lakes and conducted a comprehensive multi-omics analysis on antimicrobial resistance from freshwater lakes,No,European Lakes,NA,None,Bucket A,Is this even wastewater?,,,,,,,,,,,,,,,,,
"Opportunities and limits of wastewater-based epidemiology for tracking
global health and attainment of UN sustainable development goals",Adhikari et al.,2022,Review,UN sustainable goals,NA,"we explored its potential for real-time, tracking of progress in
attaining United Nations Sustainable Development Goals (SDGs) globally as a non-expensive method using
existing infrastructure. We inventoried (i) literature-documented sewerage infrastructure, (ii) demographics of
populations served, and (iii) WBE markers informative of 9 SDGs.",No,Global,NA,Explicit,Not Bucket A,,,,,,,,,,,,,,,,,,
"Prevalence and characterization of antibiotic resistant bacteria in raw
community sewage from diverse urban communities",Charles et al. ,2022,Surveillance Study,antibiotic resistance bacteria,Antibiotics/Resistance,"The objective of this study was to use a wastewater surveillance-based approach to differentiate the AMR contributions of sewage from three different sources within the community. This included (1) High density residential estates that houses mostly local residents, (2) A migrant workers dormitory that accommodates a foreign population from surrounding Asian countries, and (3) A large scale pet centre that houses animals within the facility.",No,Singapore,Singapore,Implicit,Not Bucket A,,,,,,,,,,,,,,,,,,
"Social, demographic, and economic correlates of food and chemical consumption measured by wastewater-based epidemiology",Choi et al.,2019,Surveillance Study,42 biomarkers in wastewater,General Biomarkers,"The present study examined relationships between WBE
biomarkers and the population median age, average IRSAD, and
40 SEIFA descriptors (Table 1) for 22 wastewater treatment plant
(WWTP) catchments in Australia (Fig. 1). Specifically, the study
examined whether sociodemographic measures correlated with
consumption of food components, PPCPs, and licit and illicit drugs
by analyzing wastewater influent samples collected during the week
of the 2016 national census.",No,Australia,Australia,Implicit,Not Bucket A,,,,,,,,,,,,,,,,,,
Preventing Scientific and Ethical Misuse of Wastewater Surveillance Data,Coffman et al. ,2021,Letter/Viewpoint,Scientific and Ethical Misuse,NA,See title,No,Global,NA,Implicit,Not Bucket A,,,,,,,,,,,,,,,,,,
"Using biomarkers in sewage to monitor community-wide human health:
Isoprostanes as conceptual prototype",Daughton ,2012,Review,Isoprostanes (biomarkers),General Biomarkers,"new concept is presented – community health assessment via Sewage Chemical Information
Mining (SCIM) – for quickly gauging overall, aggregate health status or trends for entire small-area populations.
The approach – BioSCIM – would monitor raw sewage for specific biomarkers broadly associated with
human disease, stress, or health.",No,NA,NA,Implicit,Not Bucket A,(uses health disparities terminology),,,,,,,,,,,,,,,,,
"Monitoring wastewater for assessing community health: Sewage
Chemical-Information Mining (SCIM)",Daughton ,2018,Review,Biomarkers,General Biomarkers,"this paper updates the previous 2012 paper above -- talks about Sewage Chemical-InformationMining
(SCIM) and involves the monitoring of sewage for the information that resides in the formof natural and anthropogenic
chemicals that enter sewers as a result of the everyday actions, activities, and behaviors of humans.",No,NA,NA,Implicit ,Not Bucket A,(uses health disparities terminology),,,,,,,,,,,,,,,,,
"Understanding COVID-19 Situation in Nepal and
Implications for SARS-CoV-2 Transmission and
Management",Dawadi et al.,2022,Review,COVID-19,COVID-19,"This paper
identifies the overall health status associated with COVID-19 pandemic in all 7 provinces of Nepal, a developing country in South Asia, analyzing
data from January 2020 to February 2022. It focuses on the SARS-CoV-2 prevalence, transmission through wastewater and other routes,
diagnostics, treatment options, and alternative medicines, thereby offering key perspectives for its management",No,Nepal,Nepal,Implicit,Not Bucket A,,,,,,,,,,,,,,,,,,
